3	25	40	0	0	4	1
3	9	47	0	0	1	1
3	31	3	0	0	1	1
3	37	25	0	0	1	1
2	9	1	0	0	2	1
2	26	38	0	0	4	1
2	26	15	0	0	4	1
2	32	1	0	0	2	1
2	4	18	0	0	4	1
2	12	26	0	0	1	1
2	1	7	0	0	3	1
2	4	8	0	0	4	1
2	19	48	0	0	1	1
2	26	30	0	0	4	1
2	13	1	0	0	2	1
2	37	48	0	0	1	1
2	1	18	0	0	3	1
2	23	43	0	0	3	1
2	37	23	0	0	2	1
2	43	26	0	0	1	1
2	45	20	0	0	3	1
2	15	45	0	0	2	1
2	33	4	0	0	1	1
2	48	34	0	0	4	1
1	7	0	0	0	2	1
1	33	5	0	1	1	1
1	0	43	0	0	3	1
1	44	30	0	1	3	1
1	44	39	0	1	3	1
1	7	27	0	1	1	1
1	18	5	0	1	1	1
1	27	10	0	1	4	1
1	20	22	0	0	2	1
1	49	42	0	0	4	1
1	39	27	0	1	1	1
1	19	49	0	0	1	1
1	36	49	0	0	1	1
1	9	27	0	1	1	1
1	41	5	0	1	1	1
1	27	31	0	1	4	1
1	41	22	0	0	2	1
1	22	12	0	0	3	1
1	44	19	0	1	3	1
1	17	44	0	1	2	1
1	22	14	0	0	3	1
1	8	27	0	1	1	1
1	11	27	0	1	1	1
1	22	11	0	0	3	1
1	22	9	0	0	3	1
1	20	44	0	1	2	1
1	5	39	0	1	4	1
1	42	0	0	0	2	1
1	13	27	0	1	1	1
1	44	12	0	1	3	1
1	29	22	0	0	2	1
1	49	11	0	0	4	1
1	5	11	0	1	4	1
1	11	0	0	0	2	1
1	29	5	0	1	1	1
1	49	13	0	0	4	1
1	16	5	0	1	1	1
1	35	5	0	1	1	1
1	18	44	0	1	2	1
1	11	49	0	0	1	1
